Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,4/12/2016,13162,8.5,8.5,0,1.9,0.6,6.1,0,25,13,328,728,1985
1503960366,4/13/2016,10735,7,7,0,1.6,0.7,4.7,0,21,19,217,776,1797
1503960366,4/14/2016,10460,6.7,6.7,0,2.4,0.4,3.9,0,30,11,181,1218,1776
1503960366,4/15/2016,9762,6.3,6.3,0,2.1,1.3,2.8,0,29,34,209,726,1745
1503960366,4/16/2016,12669,8.2,8.2,0,2.7,0.4,5,0,36,10,221,773,1863
1503960366,4/17/2016,9705,6.5,6.5,0,3.2,0.8,2.5,0,38,20,164,539,1728
1503960366,4/18/2016,13019,8.6,8.6,0,3.3,0.6,4.7,0,42,16,233,1149,1921
1503960366,4/19/2016,15506,9.9,9.9,0,3.5,1.3,5,0,50,31,264,775,2035
1503960366,4/20/2016,10544,6.7,6.7,0,2,0.5,4.2,0,28,12,205,818,1786
1503960366,4/21/2016,9819,6.3,6.3,0,1.3,0.3,4.7,0,19,8,211,838,1775
1503960366,4/22/2016,12764,8.1,8.1,0,4.8,1.1,2.2,0,66,27,130,1217,1827
1503960366,4/23/2016,14371,9,9,0,2.8,0.9,5.4,0,41,21,262,732,1949
1503960366,4/24/2016,10039,6.4,6.4,0,2.9,0.2,3.3,0,39,5,238,709,1788
1503960366,4/25/2016,15355,9.8,9.8,0,5.3,0.6,3.9,0,73,14,216,814,2013
1503960366,4/26/2016,13755,8.8,8.8,0,2.3,0.9,5.5,0,31,23,279,833,1970
1503960366,4/27/2016,18134,12.2,12.2,0,6.4,0.4,5.4,0,78,11,243,1108,2159
1503960366,4/28/2016,13154,8.5,8.5,0,3.5,1.2,3.8,0,48,28,189,782,1898
1503960366,4/29/2016,11181,7.2,7.2,0,1.1,0.5,5.6,0,16,12,243,815,1837
1503960366,4/30/2016,14673,9.3,9.3,0,3.6,1.4,4.3,0,52,34,217,712,1947
1503960366,5/1/2016,10602,6.8,6.8,0,2.3,1.6,2.9,0,33,35,246,730,1820
1503960366,5/2/2016,14727,9.7,9.7,0,3.2,0.6,5.9,0,41,15,277,798,2004
1503960366,5/3/2016,15103,9.7,9.7,0,3.7,1,4.9,0,50,24,254,816,1990
1503960366,5/4/2016,11100,7.2,7.2,0,2.5,0.9,3.8,0,36,22,203,1179,1819
1503960366,5/5/2016,14070,8.9,8.9,0,2.9,1.1,4.9,0,45,24,250,857,1959
1503960366,5/6/2016,12159,8,8,0,2,0.3,5.8,0,24,6,289,754,1896
1503960366,5/7/2016,11992,7.7,7.7,0,2.5,2.1,3.1,0,37,46,175,833,1821
1503960366,5/8/2016,10060,6.6,6.6,0,3.5,0.3,2.7,0,44,8,203,574,1740
1503960366,5/9/2016,12022,7.7,7.7,0,3.5,0.5,3.7,0,46,11,206,835,1819
1503960366,5/10/2016,12207,7.8,7.8,0,3.3,1.2,3.3,0,46,31,214,746,1859
1503960366,5/11/2016,12770,8.1,8.1,0,2.6,1,4.6,0,36,23,251,669,1783
1503960366,5/12/2016,0,0,0,0,0,0,0,0,0,0,0,1440,0
1624580081,4/12/2016,8163,5.3,5.3,0,0,0,5.3,0,0,0,146,1294,1432
1624580081,4/13/2016,7007,4.6,4.6,0,0,0,4.6,0,0,0,148,1292,1411
1624580081,4/14/2016,9107,5.9,5.9,0,0,0,5.9,0.009999999776,0,0,236,1204,1572
1624580081,4/15/2016,1510,1,1,0,0,0,1,0,0,0,96,1344,1344
1624580081,4/16/2016,5370,3.5,3.5,0,0,0,3.5,0,0,0,176,1264,1463
1624580081,4/17/2016,6175,4.1,4.1,0,1,1.5,1.5,0.009999999776,15,22,127,1276,1554
1624580081,4/18/2016,10536,7.4,7.4,0,2.2,0.6,4.6,0.009999999776,17,7,202,1214,1604
1624580081,4/19/2016,2916,1.9,1.9,0,0,0,1.9,0,0,0,141,1299,1435
1624580081,4/20/2016,4974,3.2,3.2,0,0,0,3.2,0,0,0,151,1289,1446
1624580081,4/21/2016,6349,4.1,4.1,0,0,0,4.1,0.01999999955,0,0,186,1254,1467
1624580081,4/22/2016,4026,2.6,2.6,0,0,0,2.6,0,0,0,199,1241,1470
1624580081,4/23/2016,8538,5.6,5.6,0,0,0,5.5,0.009999999776,0,0,227,1213,1562
1624580081,4/24/2016,6076,4,4,0,1.1,0.9,1.9,0,16,18,185,1221,1617
1624580081,4/25/2016,6497,4.2,4.2,0,0,0,4.2,0.01999999955,0,0,202,1238,1492
1624580081,4/26/2016,2826,1.8,1.8,0,0,0,1.8,0.009999999776,0,0,140,1300,1402
1624580081,4/27/2016,8367,5.4,5.4,0,1.1,1.9,2.5,0,17,36,154,1233,1670
1624580081,4/28/2016,2759,1.8,1.8,0,0,0.2,1.6,0,0,5,115,1320,1401
1624580081,4/29/2016,2390,1.5,1.5,0,0,0,1.5,0,0,0,150,1290,1404
1624580081,4/30/2016,6474,4.3,4.3,0,0.9,1.3,2.1,0.009999999776,11,23,224,1182,1655
1624580081,5/1/2016,36019,28,28,0,21.9,4.2,1.9,0.01999999955,186,63,171,1020,2690
1624580081,5/2/2016,7155,4.9,4.9,0,0.9,0.6,3.5,0,7,6,166,1261,1497
1624580081,5/3/2016,2100,1.4,1.4,0,0,0,1.3,0.01999999955,0,0,96,1344,1334
1624580081,5/4/2016,2193,1.4,1.4,0,0,0,1.4,0,0,0,118,1322,1368
1624580081,5/5/2016,2470,1.6,1.6,0,0,0,1.6,0.01999999955,0,0,117,1323,1370
1624580081,5/6/2016,1727,1.1,1.1,0,0,0,1.1,0.009999999776,0,0,102,1338,1341
1624580081,5/7/2016,2104,1.4,1.4,0,0,0,1.4,0,0,0,182,1258,1474
1624580081,5/8/2016,3427,2.2,2.2,0,0,0,2.2,0,0,0,152,1288,1427
1624580081,5/9/2016,1732,1.1,1.1,0,0,0,1.1,0,0,0,91,1349,1328
1624580081,5/10/2016,2969,1.9,1.9,0,0,0,1.9,0.009999999776,0,0,139,1301,1393
1624580081,5/11/2016,3134,2,2,0,0,0,2,0,0,0,112,1328,1359
1624580081,5/12/2016,2971,1.9,1.9,0,0,0,1.9,0.009999999776,0,0,107,890,1002
1644430081,4/12/2016,10694,7.8,7.8,0,0.1,2.3,5.3,0,2,51,256,1131,3199
1644430081,4/13/2016,8001,5.8,5.8,0,2.3,0.9,2.6,0,30,16,135,1259,2902
1644430081,4/14/2016,11037,8,8,0,0.4,2.6,5.1,0,5,58,252,1125,3226
1644430081,4/15/2016,5263,3.8,3.8,0,0.2,0.2,3.5,0,3,4,170,1263,2750
1644430081,4/16/2016,15300,11.1,11.1,0,4.1,1.9,5.1,0,51,42,212,1135,3493
1644430081,4/17/2016,8757,6.4,6.4,0,2.3,0.6,3.5,0,29,13,186,1212,3011
1644430081,4/18/2016,7132,5.2,5.2,0,1.1,1.7,2.5,0,15,33,121,1271,2806
1644430081,4/19/2016,11256,8.2,8.2,0,0.4,2.5,5.3,0,5,58,278,1099,3300
1644430081,4/20/2016,2436,1.8,1.8,0,0,0,1.8,0.009999999776,0,0,125,1315,2430
1644430081,4/21/2016,1223,0.9,0.9,0,0,0,0.9,0.009999999776,0,0,38,1402,2140
1644430081,4/22/2016,3673,2.7,2.7,0,0,0,2.7,0.009999999776,0,0,86,1354,2344
1644430081,4/23/2016,6637,4.8,4.8,0,0,0.6,4.3,0,0,15,160,1265,2677
1644430081,4/24/2016,3321,2.4,2.4,0,0,0,2.4,0,0,0,89,1351,2413
1644430081,4/25/2016,3580,2.6,2.6,0,0.6,0.1,2,0,8,1,94,1337,2497
1644430081,4/26/2016,9919,7.2,7.2,0,0.8,1.7,4.7,0,11,41,223,1165,3123
1644430081,4/27/2016,3032,2.2,2.2,0,0,0,2.2,0,0,0,118,1322,2489
1644430081,4/28/2016,9405,6.8,6.8,0,0.2,2.3,4.3,0,3,53,227,1157,3108
1644430081,4/29/2016,3176,2.3,2.3,0,0,0,2.3,0,0,0,120,1193,2498
1644430081,4/30/2016,18213,13.2,13.2,0,0.6,3.1,9.5,0,9,71,402,816,3846
1644430081,5/1/2016,6132,4.5,4.5,0,0.2,1,3.2,0,3,24,146,908,2696
1644430081,5/2/2016,3758,2.7,2.7,0,0.1,0.3,2.3,0,1,7,148,682,2580
1644430081,5/3/2016,12850,9.3,9.3,0,0.7,4.1,4.5,0,10,94,221,1115,3324
1644430081,5/4/2016,2309,1.7,1.7,0,0,0,1.7,0.01999999955,0,0,52,1388,2222
1644430081,5/5/2016,4363,3.2,3.2,0,0.5,0.5,2.1,0.009999999776,6,12,81,1341,2463
1644430081,5/6/2016,9787,7.1,7.1,0,0.8,0.3,6,0.01999999955,11,6,369,1054,3328
1644430081,5/7/2016,13372,9.7,9.7,0,3.3,0.8,5.7,0.009999999776,41,17,243,1139,3404
1644430081,5/8/2016,6724,4.9,4.9,0,0,0,4.9,0,0,0,295,991,2987
1644430081,5/9/2016,6643,4.8,4.8,0,2.4,0.3,2.1,0.009999999776,32,6,303,1099,3008
1644430081,5/10/2016,9167,6.7,6.7,0,0.9,0.8,5,0.009999999776,12,19,155,1254,2799
1644430081,5/11/2016,1329,1,1,0,0,0,0.9,0.009999999776,0,0,49,713,1276
